neuropil,global_clustering_mean,global_clustering_q025,global_clustering_q975,density_mean,density_q025,density_q975,reciprocity_mean,reciprocity_q025,reciprocity_q975,average_strength_mean,average_strength_q025,average_strength_q975
BU_L,0.15707448440337524,0.14244785175100508,0.17133452906387592,0.012101922281562998,0.012101922281563,0.012101922281563,0.0869167904903417,0.0705423476968796,0.1047548291233283,,,
BU_R,0.2098833411063065,0.19483187315816275,0.2233826456016387,0.0111954160146795,0.0111954160146795,0.0111954160146795,0.12919222389810622,0.11386375062845647,0.14558823529411757,,,
CAN_L,0.11275126405704948,0.10828047096292544,0.11830242217225025,0.014464173690096196,0.0144641736900962,0.0144641736900962,0.030783204475454098,0.0243258532905902,0.0367716386950782,,,
CAN_R,0.08775106599728145,0.08373878021241729,0.09198095795288944,0.006161811685429201,0.0061618116854292,0.0061618116854292,0.022622773349079764,0.0184529081783289,0.027092559787422463,,,
CRE_L,0.0914548654362614,0.09060112868515495,0.09239493215876374,0.0039228766621648,0.0039228766621648,0.0039228766621648,0.09345244652355977,0.09165050741313613,0.09546629192288822,,,
CRE_R,0.09908911176880723,0.09825620582586472,0.09983151655045026,0.004026945636309001,0.004026945636309,0.004026945636309,0.0878037149530966,0.08594765632579342,0.08961335532354718,,,
EB,0.4182062792143104,0.41585733762644106,0.42023720247261104,0.0223476163535121,0.0223476163535121,0.0223476163535121,0.37270508549855647,0.36793137908061285,0.37852653786364643,,,
EPA_L,0.12340210657531316,0.1211023620297999,0.12556712249722213,0.007294814383320499,0.0072948143833205,0.0072948143833205,0.05764806188654129,0.053837755781068,0.06132611046414899,,,
EPA_R,0.12863400450296544,0.12588168057526847,0.13135019069465065,0.007307575740137503,0.0073075757401375,0.0073075757401375,0.05282111857762838,0.04879383662326752,0.056858987820243546,,,
FB,0.2625738570655709,0.2618221287360306,0.2632382711183692,0.015075590787216602,0.0150755907872166,0.0150755907872166,0.2073895214991759,0.2050546592962781,0.20934698269195923,,,
FLA_L,0.13386715875748825,0.1320078368703608,0.1354764680344127,0.008790355031871299,0.0087903550318713,0.0087903550318713,0.06630688507569221,0.0628514614678643,0.0698890341240926,,,
FLA_R,0.14130955631077757,0.139625853130329,0.14295636565579453,0.009000626527419899,0.0090006265274199,0.0090006265274199,0.0654268372325304,0.06260401060274286,0.06805405093926467,,,
GA_L,0.26592268399226027,0.2567968149102216,0.27373830240069286,0.015507014028056104,0.0155070140280561,0.0155070140280561,0.14019298699060906,0.1281985009046265,0.1514603256655466,,,
GA_R,0.27879833718151315,0.2677712686335101,0.29153895847358935,0.016661059148105704,0.0166610591481057,0.0166610591481057,0.1661187399030694,0.1490306946688206,0.1797253634894992,,,
GNG,0.14967255948998784,0.1492186873353102,0.15030953233248975,0.0043026678914668,0.0043026678914668,0.0043026678914668,0.10497933914653224,0.10391794059958709,0.10595482527345786,,,
GOR_L,0.13976458456358617,0.13740509965515235,0.14209187577221552,0.0080034414405933,0.0080034414405933,0.0080034414405933,0.06803376354626145,0.0644012416271851,0.07234602189184769,,,
GOR_R,0.13571936096456896,0.133560211727681,0.13791702572923464,0.0078557410954557,0.0078557410954557,0.0078557410954557,0.06525684801578265,0.0619150596728561,0.0686156547754544,,,
IB_L,0.09840737971680456,0.09680272658613547,0.09998423440667281,0.0055990797120133015,0.0055990797120133,0.0055990797120133,0.04535618136733966,0.042620882040382536,0.04775991852639031,,,
