neuropil,num_nodes,num_edges,reciprocity,connection_density,average_edge_strength,global_clustering,diameter,mean_shortest_path_length,n_nodes_lcc,n_edges_lcc,PC1,PC2
CAN_R,1049,6774,0.046353705,0.006161812,2.294065545,0.111661568,19,4.764891349,470,3504,-0.9901062794673836,-3.1599724206816786
CRE_L,5813,132535,0.172859999,0.003922877,2.431335119,0.104135547,10,3.132961868,4950,127255,0.37792997025235153,-0.8873191678094619
CRE_R,5769,133999,0.153911596,0.004026946,2.555504146,0.116114333,9,3.134577339,4893,127961,0.33516869544727,-0.7596084036466466
EB,1420,45030,0.580590717,0.022347616,6.278347768,0.511485642,10,2.130011026,499,43019,-2.6749695085782923,5.886843569701771
EPA_L,1816,24044,0.109216437,0.007294814,2.421560472,0.153156653,11,3.481148238,1322,21224,-0.7731746440098495,-1.046847037472776
EPA_R,1615,19048,0.100167997,0.007307576,2.504094918,0.16682204,9,3.590075918,1087,16003,-0.8325891094873478,-0.8365999766142419
FB,3875,226311,0.354291219,0.015075591,3.966956975,0.31937612,16,3.319421874,2791,223184,-1.1029445845934427,1.5798917199460671
FLA_L,2023,35957,0.107851044,0.008790355,2.769335595,0.162382032,9,3.32125053,1505,30852,-0.8156870761980659,-0.4460968570121577
FLA_R,2196,43385,0.113080558,0.009000627,2.97690446,0.170526423,9,3.273894187,1650,37444,-0.8256292801047389,-0.27231719544216226
GA_L,500,3869,0.215042647,0.015507014,4.100025846,0.350116447,9,3.133031866,248,2955,-2.018040375002023,1.8877894717986916
GA_R,386,2476,0.250403877,0.016661059,4.153069467,0.362717702,9,3.232150143,172,1854,-2.1288763549409393,2.1688412561103836
GNG,11250,544508,0.185697914,0.004302668,4.982870775,0.194436752,10,3.203283817,9794,530404,1.4712951241096635,0.7009447180385393
GOR_L,1956,30605,0.12841039,0.008003441,2.491684365,0.167602341,9,3.154237315,1376,27708,-0.7659228596321858,-0.43176788940504524
GOR_R,1979,30751,0.118305096,0.007855741,2.500081298,0.161043358,8,3.149514305,1385,27210,-0.7241678972513156,-0.3969781099130332
IB_L,3176,56460,0.077364506,0.00559908,2.517995041,0.121934589,10,3.28885798,2231,48994,-0.3617856747736509,-1.1984312378834496
IB_R,3135,60487,0.085638236,0.006156381,2.615686015,0.131142642,10,3.200104761,2228,53576,-0.4117845112788253,-0.9961983958783942
ICL_L,4997,122152,0.141856048,0.004892928,2.684581505,0.172282607,14,3.311656712,3514,114687,-0.16328857334106148,-1.1404747739867955
ICL_R,5121,130593,0.150375594,0.004980755,2.763854112,0.179618826,13,3.492582157,3792,122497,-0.13786873253022047,-1.0051379748759899
IPS_L,4469,126502,0.104045786,0.006335398,3.958008569,0.154695377,11,3.176216747,3472,117017,-0.29653180771919274,-0.3937791611782133
IPS_R,4445,119387,0.107515894,0.006043816,4.022724417,0.160120955,9,3.181760656,3331,109119,-0.29014700341956307,-0.14658637173791586
